year,murders,robberies,assaults,burglaries
1960,9110,107840,154320,912100
1961,8740,106670,156760,949600
1962,8530,110860,164570,994300
1963,8640,116470,174210,1086400
1964,9360,130390,203050,1213200
1965,9960,138690,215330,1282500
1966,11040,157990,235330,1410100
1967,12240,202910,257160,1632100
1968,13800,262840,286700,1858900
1969,14760,298850,311090,1981900
1970,16000,349860,334970,2205000
1971,17780,387700,368760,2399300
1972,18670,376290,393090,2375500
1973,19640,384220,420650,2565500
1974,20710,442400,456210,3039200
1975,20510,470500,492620,3265300
1976,18780,427810,500530,3108700
1977,19120,412610,534350,3071500
1978,19560,426930,571460,3128300
1979,21460,480700,629480,3327700
1980,23040,565840,672650,3795200
1981,22520,592910,663900,3779700
1982,21010,553130,669480,3447100
1983,19310,506570,653290,3129900
1984,18690,485010,685350,2984400
1985,18980,497870,723250,3073300
1986,20613,542775,834322,3241410
1987,20096,517704,855088,3236184
1988,20680,542970,910090,3218100
1989,21500,578330,951710,3168200
1990,23440,639270,1054860,3073900
1991,24700,687730,1092740,3157200
1992,23760,672480,1126970,2979900
1993,24530,659870,1135610,2834800
1994,23330,618950,1113180,2712800
1995,21610,580510,1099210,2593800
1996,19650,535590,1037050,2506400
1997,18208,498534,1023201,2460526
1998,16914,446625,974402,2329950
1999,15522,409371,911740,2100739
