year,murders,robberies,assaults
1960,9110,107840,154320,912100
1961,8740,106670,156760
1962,8530,110860,164570
1963,8640,116470,174210
1964,9360,130390,203050
1965,9960,138690,215330
1966,11040,157990,235330
1967,12240,202910,257160
1968,13800,262840,286700
1969,14760,298850,311090
1970,16000,349860,334970
1971,17780,387700,368760
1972,18670,376290,393090
1973,19640,384220,420650
1974,20710,442400,456210
1975,20510,470500,492620
1976,18780,427810,500530
1977,19120,412610,534350
1978,19560,426930,571460
1979,21460,480700,629480
1980,23040,565840,672650
1981,22520,592910,663900
1982,21010,553130,669480
1983,19310,506570,653290
1984,18690,485010,685350
1985,18980,497870,723250
1986,20613,542775,834322
1987,20096,517704,855088
1988,20680,542970,910090
1989,21500,578330,951710
1990,23440,639270,1054860
1991,24700,687730,1092740
1992,23760,672480,1126970
1993,24530,659870,1135610
1994,23330,618950,1113180
1995,21610,580510,1099210
1996,19650,535590,1037050
1997,18208,498534,1023201
1998,16914,446625,974402
1999,15522,409371,911740
